,combos,R2,R2_adj,RMSE
21748,"['team', 'minutes_played', 'defensive_rebound_percentage', 'usage_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.468,0.463,1.037
21839,"['team', 'minutes_played', 'total_rebound_percentage', 'usage_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.465,0.461,1.039
21746,"['team', 'minutes_played', 'defensive_rebound_percentage', 'usage_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.464,0.46,1.04
21745,"['team', 'minutes_played', 'defensive_rebound_percentage', 'usage_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.465,0.461,1.04
17927,"['age', 'team', 'minutes_played', 'defensive_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.464,0.46,1.04
17836,"['age', 'team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'exp', 'exp^2']",0.463,0.459,1.041
17941,"['age', 'team', 'minutes_played', 'total_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.463,0.459,1.041
21982,"['team', 'minutes_played', 'steal_percentage', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.463,0.459,1.041
18002,"['age', 'team', 'minutes_played', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.463,0.459,1.041
17932,"['age', 'team', 'minutes_played', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.464,0.459,1.041
17934,"['age', 'team', 'minutes_played', 'defensive_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.463,0.459,1.041
21836,"['team', 'minutes_played', 'total_rebound_percentage', 'usage_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.462,0.458,1.042
21747,"['team', 'minutes_played', 'defensive_rebound_percentage', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.462,0.458,1.042
22144,"['team', 'minutes_played', 'usage_percentage', 'win_shares_per_48_minutes', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.462,0.458,1.042
21316,"['team', 'minutes_played', 'three_point_attempt_rate', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.461,0.457,1.043
20987,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.461,0.457,1.043
21838,"['team', 'minutes_played', 'total_rebound_percentage', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.461,0.457,1.043
21837,"['team', 'minutes_played', 'total_rebound_percentage', 'usage_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.461,0.457,1.043
17837,"['age', 'team', 'minutes_played', 'player_efficiency_rating', 'total_rebound_percentage', 'exp', 'exp^2']",0.461,0.457,1.043
21784,"['team', 'minutes_played', 'defensive_rebound_percentage', 'box_plus_minus', 'value_over_replacement_player', 'exp', 'exp^2']",0.461,0.457,1.043
21779,"['team', 'minutes_played', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'value_over_replacement_player', 'exp', 'exp^2']",0.461,0.457,1.043
21780,"['team', 'minutes_played', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'allstar', 'exp', 'exp^2']",0.461,0.456,1.044
21767,"['team', 'minutes_played', 'defensive_rebound_percentage', 'win_shares', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.46,0.456,1.044
21158,"['team', 'minutes_played', 'true_shooting_percentage', 'defensive_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.46,0.456,1.044
21754,"['team', 'minutes_played', 'defensive_rebound_percentage', 'offensive_win_shares', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.461,0.456,1.044
18003,"['age', 'team', 'minutes_played', 'usage_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.46,0.456,1.044
19467,"['team', 'games_played', 'minutes_played', 'defensive_rebound_percentage', 'usage_percentage', 'exp', 'exp^2']",0.46,0.456,1.044
21769,"['team', 'minutes_played', 'defensive_rebound_percentage', 'win_shares', 'box_plus_minus', 'exp', 'exp^2']",0.46,0.456,1.044
17948,"['age', 'team', 'minutes_played', 'total_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.46,0.456,1.044
21785,"['team', 'minutes_played', 'defensive_rebound_percentage', 'box_plus_minus', 'allstar', 'exp', 'exp^2']",0.461,0.456,1.044
17946,"['age', 'team', 'minutes_played', 'total_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.46,0.456,1.044
21452,"['team', 'minutes_played', 'free_throw_attempt_rate', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.46,0.456,1.044
21718,"['team', 'minutes_played', 'defensive_rebound_percentage', 'steal_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.461,0.456,1.044
17931,"['age', 'team', 'minutes_played', 'defensive_rebound_percentage', 'win_shares_per_48_minutes', 'exp', 'exp^2']",0.461,0.456,1.044
21387,"['team', 'minutes_played', 'three_point_attempt_rate', 'usage_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.46,0.456,1.044
21318,"['team', 'minutes_played', 'three_point_attempt_rate', 'defensive_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.46,0.455,1.045
21062,"['team', 'minutes_played', 'player_efficiency_rating', 'usage_percentage', 'defensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21586,"['team', 'minutes_played', 'offensive_rebound_percentage', 'total_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
19472,"['team', 'games_played', 'minutes_played', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.46,0.455,1.045
21574,"['team', 'minutes_played', 'offensive_rebound_percentage', 'defensive_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21163,"['team', 'minutes_played', 'true_shooting_percentage', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
19474,"['team', 'games_played', 'minutes_played', 'defensive_rebound_percentage', 'box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
20992,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21572,"['team', 'minutes_played', 'offensive_rebound_percentage', 'defensive_rebound_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
21704,"['team', 'minutes_played', 'defensive_rebound_percentage', 'assist_percentage', 'offensive_box_plus_minus', 'exp', 'exp^2']",0.459,0.455,1.045
20984,"['team', 'minutes_played', 'player_efficiency_rating', 'defensive_rebound_percentage', 'steal_percentage', 'exp', 'exp^2']",0.459,0.454,1.045
